Table 1
#,"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Population
,World,"70,93,122","10,926","4,06,222","1,141","34,62,432","32,24,468","53,748",910,52.1,,,
1,USA,"20,07,449",,"1,12,469",,"7,61,708","11,33,272","16,923","6,067",340,"2,12,91,677","64,349","330,880,530"
2,Brazil,"6,91,962",,"37,312",813,"3,02,084","3,52,566","8,318","3,257",176,"9,99,836","4,706","212,463,372"
3,Russia,"4,67,673",,"5,859",,"2,26,731","2,35,083","2,300","3,205",40,"1,27,21,549","87,175","145,930,700"
4,Spain,"2,88,630",,"27,136",,N/A,N/A,617,"6,173",580,"40,63,843","86,920","46,753,690"
5,UK,"2,86,194",,"40,542",,N/A,N/A,604,"4,217",597,"55,81,073","82,239","67,863,688"
6,India,"2,58,090",604,"7,207",,"1,24,095","1,26,788","8,944",187,5,"47,74,434","3,462","1,379,122,578"
7,Italy,"2,34,998",,"33,899",,"1,65,837","35,262",287,"3,886",561,"42,36,535","70,063","60,467,085"
8,Peru,"1,96,515",,"5,465",,"86,219","1,04,831","1,062","5,966",166,"11,91,956","36,185","32,941,004"
9,Germany,"1,85,869",,"8,776",,"1,69,600","7,493",568,"2,219",105,"43,48,880","51,916","83,767,456"
10,Iran,"1,71,789",,"8,281",,"1,34,349","29,159","2,596","2,047",99,"10,84,857","12,927","83,921,387"
11,Turkey,"1,70,132",,"4,692",,"1,37,969","27,471",613,"2,019",56,"23,38,593","27,748","84,279,639"
12,France,"1,53,977",,"29,155",,"70,842","53,980","1,053","2,359",447,"13,84,633","21,216","65,264,696"
13,Chile,"1,34,150",,"2,190",,"95,631","36,329","1,558","7,021",115,"7,08,773","37,098","19,105,644"
14,Mexico,"1,17,103","3,484","13,699",188,"84,419","18,985",378,909,106,"3,36,395","2,611","128,844,230"
15,Pakistan,"1,03,671","4,728","2,067",65,"34,355","67,249",111,470,9,"7,05,833","3,200","220,591,553"
16,Saudi Arabia,"1,01,914",,712,,"72,817","28,385","1,564","2,931",20,"9,58,237","27,554","34,776,977"
17,Canada,"95,699",,"7,800",,"54,233","33,666","1,816","2,537",207,"18,96,822","50,286","37,720,832"
18,China,"83,040",4,"4,634",,"78,341",65,1,58,3,,,"1,43,93,23,776"
19,Qatar,"68,790",,54,,"44,338","24,398",245,"24,500",19,"2,55,533","91,008","28,07,805"
20,Bangladesh,"65,769",,888,,"13,903","50,978",1,400,5,"3,97,987","2,418","164,582,631"
21,Belgium,"59,226",,"9,595",,"16,291","33,340",111,"5,112",828,"9,35,670","80,755","11,586,489"
22,Belarus,"48,630",,269,,"23,647","24,714",92,"5,146",28,"6,22,313","65,857","9,449,509"
23,South Africa,"48,285",,998,,"24,364","22,923",208,815,17,"9,20,064","15,526","59,258,991"
24,Netherlands,"47,574",,"6,013",,N/A,N/A,97,"2,777",351,"3,88,113","22,654","17,132,558"
25,Sweden,"44,730",,"4,659",,N/A,N/A,198,"4,431",462,"2,75,500","27,290","10,095,291"
26,Ecuador,"43,120",,"3,621",,"21,020","18,479",222,"2,447",205,"1,27,414","7,229","17,624,879"
27,Colombia,"39,236",,"1,259",,"15,322","22,655",335,772,25,"4,10,719","8,077","50,847,406"
28,UAE,"38,808",,276,,"21,806","16,726",1,"3,927",28,"25,00,000","2,52,973","9,882,493"
29,Singapore,"37,910",,25,,"24,886","12,999",3,"6,483",4,"4,08,495","69,859","5,847,399"
30,Portugal,"34,693",,"1,479",,"20,995","12,219",58,"3,402",145,"8,73,998","85,699","10,198,446"
31,Egypt,"34,079",,"1,237",,"8,961","23,881",41,333,12,"1,35,000","1,321","102,199,634"
32,Kuwait,"31,848",,264,,"20,205","11,379",196,"7,465",62,"3,15,285","73,901","4,266,300"
33,Indonesia,"31,186",,"1,851",,"10,498","18,837",,114,7,"4,05,992","1,485","273,334,499"
34,Switzerland,"30,965",,"1,921",,"28,700",344,28,"3,580",222,"4,23,468","48,952","8,650,592"
35,Ukraine,"26,999",,788,,"12,054","14,157",304,617,18,"4,24,046","9,693","43,748,704"
36,Poland,"26,561",,"1,157",,"12,998","12,406",160,702,31,"10,56,396","27,911","37,849,071"
37,Ireland,"25,201",,"1,679",,"22,698",824,36,"5,107",340,"3,48,416","70,613","4,934,162"
38,Argentina,"22,794",,664,,"6,909","15,221",274,505,15,"1,93,923","4,293","45,168,963"
39,Philippines,"21,895",,"1,003",,"4,530","16,362",82,200,9,"4,30,081","3,928","109,483,597"
40,Afghanistan,"20,917",575,369,12,"2,171","18,377",19,538,9,"48,305","1,243","38,865,373"
41,Romania,"20,479",,"1,333",,"14,638","4,508",144,"1,064",69,"5,03,200","26,147","19,244,947"
42,Dominican Republic,"19,600",,538,,"12,007","7,055",110,"1,808",50,"94,511","8,718","10,840,829"
43,Israel,"17,915",52,298,,"15,102","2,515",27,"1,948",32,"6,62,916","72,075","91,97,590"
44,Japan,"17,141",,916,,"15,139","1,086",98,136,7,"3,14,483","2,486","126,499,051"
45,Austria,"16,902",,672,,"15,793",437,17,"1,877",75,"4,89,597","54,381","9,003,169"
46,Oman,"16,882",,75,,"3,451","13,356",75,"3,312",15,"1,08,679","21,322","5,097,088"
47,Panama,"16,425",,393,,"10,218","5,814",84,"3,811",91,"72,697","16,867","4,310,139"
48,Bahrain,"14,763",,26,,"9,468","5,269",13,"8,700",15,"3,67,056","2,16,308","1,696,917"
49,Bolivia,"13,643",285,465,11,"2,086","11,092",3,"1,170",40,"36,530","3,132","11,662,351"
50,Armenia,"13,325",195,211,11,"4,099","9,015",10,"4,497",71,"70,000","23,625","2,962,906"
51,Kazakhstan,"12,859",165,56,3,"7,376","5,427",62,685,3,"9,65,089","51,439","18,761,857"
52,Nigeria,"12,486",,354,,"3,959","8,173",7,61,2,"76,802",373,"205,766,196"
53,Iraq,"12,366",,346,,"5,186","6,834",69,308,9,"3,03,053","7,547","40,157,701"
54,Denmark,"11,948",,589,,"10,755",604,15,"2,063",102,"7,06,442","1,21,991","5,790,943"
55,Serbia,"11,823",,249,,"11,348",226,15,"1,353",28,"2,72,502","31,181","8,739,407"
56,S. Korea,"11,814",38,273,,"10,563",978,15,230,5,"10,18,214","19,861","51,266,523"
57,Algeria,"10,154",,707,,"6,717","2,730",24,232,16,,,"43,796,100"
58,Moldova,"9,700",,341,,"5,638","3,721",335,"2,404",85,"63,328","15,697","4,034,514"
59,Ghana,"9,638",,44,,"3,636","5,958",3,311,1,"2,33,734","7,533","31,026,938"
60,Czechia,"9,629",1,328,1,"6,896","2,405",12,899,31,"4,73,747","44,243","10,707,772"
61,Norway,"8,547",,238,,"8,138",171,5,"1,577",44,"2,57,303","47,486","5,418,531"
62,Malaysia,"8,322",,117,,"6,674","1,531",5,257,4,"6,10,038","18,864","32,338,393"
63,Morocco,"8,224",,208,,"7,364",652,15,223,6,"3,05,953","8,296","36,881,658"
64,Cameroon,"7,908",,212,,"4,735","2,961",28,298,8,,,"26,497,531"
65,Azerbaijan,"7,553",,88,,"4,149","3,316",66,745,9,"3,28,385","32,407","10,133,277"
66,Australia,"7,265",5,102,,"6,706",457,3,285,4,"16,32,116","64,054","25,480,378"
67,Guatemala,"7,055",263,252,22,"1,261","5,542",5,394,14,"31,427","1,756","17,892,493"
68,Finland,"6,981",,323,,"5,800",858,6,"1,260",58,"2,01,000","36,280","5,540,198"
69,Honduras,"6,327",172,258,8,712,"5,357",13,639,26,"21,540","2,177","9,893,859"
70,Sudan,"6,081",,359,,"2,014","3,708",,139,8,401,9,"43,775,253"
71,Tajikistan,"4,529",,48,,"2,673","1,808",,476,5,,,"9,522,265"
72,Uzbekistan,"4,352",21,17,,"3,354",981,7,130,0.5,"7,48,555","22,387","33,436,477"
73,Senegal,"4,328",,49,,"2,588","1,691",15,259,3,"49,180","2,943","16,711,294"
74,Djibouti,"4,207",,28,,"1,877","2,302",,"4,262",28,"35,165","35,627","987,030"
75,Guinea,"4,117",,23,,"2,877","1,217",24,314,2,"14,407","1,099","13,106,296"
76,Luxembourg,"4,039",,110,,"3,899",30,1,"6,459",176,"88,051","1,40,818","625,281"
77,DRC,"4,016",,85,,537,"3,394",,45,1.0,,,"89,353,804"
78,Hungary,"4,014",6,548,2,"2,284","1,182",21,415,57,"2,10,749","21,813","9,661,789"
79,Ivory Coast,"3,739",,36,,"1,818","1,885",,142,1,"31,549","1,198","26,330,544"
80,Nepal,"3,448",,13,,467,"2,968",,118,0.4,"2,41,254","8,290","29,100,465"
81,Haiti,"3,334",262,51,1,24,"3,259",,293,4,"7,357",646,"11,393,320"
82,Thailand,"3,119",7,58,,"2,973",88,1,45,0.8,"4,68,175","6,708","69,789,262"
83,Gabon,"3,101",,21,,833,"2,247",13,"1,396",9,"16,730","7,529","2,221,930"
84,North Macedonia,"3,025",,153,,"1,646","1,226",34,"1,452",73,"36,325","17,436","2,083,379"
85,El Salvador,"3,015",,55,2,"1,342","1,618",79,465,8,"1,06,548","16,432","6,484,160"
86,Greece,"2,997",,180,,"1,374","1,443",9,287,17,"1,93,929","18,601","10,425,978"
87,Kenya,"2,767",,84,,752,"1,931",7,52,2,"97,340","1,813","53,686,542"
88,Bulgaria,"2,727",16,160,,"1,548","1,019",12,392,23,"90,329","12,994","6,951,380"
89,Bosnia and Herzegovina,"2,606",,159,,"1,968",479,4,794,48,"69,654","21,223","3,281,977"
90,Venezuela,"2,377",,22,,487,"1,868",,84,0.8,"13,43,336","47,233","28,440,650"
91,Somalia,"2,334",,83,,441,"1,810",2,147,5,,,"15,860,043"
92,Croatia,"2,247",,104,,"2,126",17,2,547,25,"68,740","16,738","4,106,705"
93,Cuba,"2,191",,83,,"1,862",246,3,193,7,"1,18,488","10,461","11,327,028"
94,Mayotte,"2,079",,25,,"1,523",531,12,"7,634",92,"8,150","29,926","272,336"
95,Kyrgyzstan,"2,032",25,23,1,"1,445",564,5,312,4,"1,27,051","19,496","6,516,817"
96,Ethiopia,"2,020",,27,,344,"1,649",32,18,0.2,"1,42,960","1,246","114,755,497"
97,Estonia,"1,939",,69,,"1,681",189,,"1,462",52,"90,000","67,849","1,326,481"
98,Maldives,"1,903",,8,,827,"1,068",9,"3,525",15,"28,940","53,604","539,886"
99,Sri Lanka,"1,835",,11,,941,883,1,86,0.5,"76,957","3,595","21,407,678"
100,Iceland,"1,807",,10,,"1,794",3,,"5,298",29,"62,795","1,84,094","341,103"
101,Lithuania,"1,714",,71,,"1,328",315,17,629,26,"3,33,433","1,22,392","2,724,301"
102,CAR,"1,634",,5,,38,"1,591",,339,1,"15,881","3,292","4,823,971"
103,Mali,"1,533",,90,,873,570,,76,4,"3,483",172,"20,206,890"
104,Slovakia,"1,528",,28,,"1,389",111,,280,5,"1,89,415","34,695","5,459,483"
105,New Zealand,"1,504",,22,,"1,482",0,,301,4,"2,94,848","58,945","50,02,100"
106,Slovenia,"1,485",,109,,"1,359",17,,714,52,"84,537","40,664","2,078,921"
107,Guinea-Bissau,"1,368",,12,,153,"1,203",,696,6,"1,500",764,"1,964,631"
108,Lebanon,"1,331",,30,,768,533,6,195,4,"95,154","13,937","6,827,207"
109,Costa Rica,"1,318",,10,,704,604,4,259,2,"29,449","5,784","5,091,112"
110,South Sudan,"1,317",,14,,6,"1,297",,118,1,"3,356",300,"11,185,064"
111,Equatorial Guinea,"1,306",,12,,200,"1,094",,933,9,"8,268","5,908","1,399,406"
